,0,1,2,3,4,5
0,,visit,tate-britain,,,
1,,visit,tate-modern,,,
2,,visit,tate-liverpool,,,
3,,visit,tate-st-ives,,,
4,,homepage,,,,
5,http:,,www.tate.org.uk,art,,
6,,visit,,,,
7,,whats-on,,,,
8,,context-comment,,,,
9,,join-support,,,,
10,,learn,,,,
11,,research,,,,
12,,about,,,,
13,http:,,shop.tate.org.uk,,,
14,,albums,,,,
15,,,,,,
16,http:,,kids.tate.org.uk,,,
17,http:,,collectives.tate.org.uk,,,
18,,about,working-at-tate,,,
19,,artist-rooms,,,,
20,,about,press-office,,,
21,http:,,tate-images.com,,,
22,,about,who-we-are,policies-and-procedures,website-terms-use,copyright-and-permissions
23,,about,who-we-are,policies-and-procedures,website-terms-use,privacy-and-use-cookies
24,,about,who-we-are,policies-and-procedures,website-terms-use,
25,,about,contact-us,,,
26,,about,contact-us,feedback,,
27,http:,,www.facebook.com,tategallery,,
28,http:,,twitter.com,tate,,
29,http:,,www.youtube.com,user,tate,
30,,about,our-work,digital,social-media-directory,
31,,about,our-work,digital,podcast-directory,
32,,about,who-we-are,charitable-status,,
33,,join-support,donate,,,
34,,join-support,tate-member-patron,join-patron,,
35,,join-support,corporate-support,corporate-members,,
36,,join-support,corporate-support,sponsorship,,
37,,about,business-services,events-and-hospitality,,
38,http:,,www.tate.org.uk,context-comment,articles,close-up-queen-victoria-alfred-gilbert
39,,whats-on,tate-britain,exhibition,sculpture-victorious,
40,,whats-on,tate-britain,performance-and-music,walter-hugo-zoniel-salt-print-selfie,
41,http:,,shop.tate.org.uk,,,
42,,visit,tate-britain,turner-prize,nominations,
43,,join-support,tate-member-patron,,,
44,,context-comment,blogs,if-i-could-soar,,
45,,learn,online-resources,glossary,f,feminist-art
46,,about,projects,tate-worlds-art-reimagined-minecraft,,
47,http:,,www.tate.org.uk,art,artworks?gid=999999952,
48,,artist-rooms,,,,
49,http:,,artmaps.tate.org.uk,artmaps,tate,#cluster%5Blat%5D=51.58&cluster%5Blng%5D=-0.18&cluster%5Bpage%5D=0&zoom=15&lat=51.52&lng=-0.15&maptype=hybrid
50,https:,,www.khanacademy.org,partner-content,tate,
51,,context-comment,apps,william-blakes-london,,
52,,search?f[]=im_vid_47:6527,,,,
53,,context-comment,apps,tate-etc,,
